Id,Search Keyword,URL,Datetime,Tweet,Username,View Count,Reply Count,Retweet Count,Like Count,Quote Count,Language,Source,Coordinates,Place,Hashtags,Reply to User,Mentioned Users Count,Mentioned Users
1629841632995491844,Lagi di Bogor,https://twitter.com/ajinhaha/status/1629841632995491844,2023-02-26 13:51:40+00:00,Lagi ada diskon PBB di Kabupaten Bogor lumayan meskipun sedikit,ajinhaha,109.0,0,0,0,0,in,Twitter for iPhone,"Coordinates(longitude=106.830408, latitude=-6.206999)","Place(id='d16052cf1200267a', fullName='Menteng, Indonesia', name='Menteng', type='city', country='Indonesia', countryCode='ID')",,,0,
1629840945960058884,Lagi di Bogor,https://twitter.com/anemesis50/status/1629840945960058884,2023-02-26 13:48:57+00:00,"@TheMornin9 Nanti kalo ada event di Bogor lagi spam aja rame"" panitianya bang. Gw baru inget, hujan di bogor gk liat musim wkwkwk...",anemesis50,37.0,0,0,0,0,in,Twitter for Android,,,,TheMornin9,1,['TheMornin9']
1629839537018114048,Lagi di Bogor,https://twitter.com/idkwaudo/status/1629839537018114048,2023-02-26 13:43:21+00:00,@ooh_zk —mudah2an tmn2 ga kapok buat nnton jeketi lagi di bogor. semoga next event jeketi di bogor bisa di venue yg lbh layak dan bisa lebih di provide dengan baik oleh panitia.,idkwaudo,167.0,0,0,1,0,in,Twitter for iPhone,,,,idkwaudo,1,['ooh_zk']
1629839534853873664,Lagi di Bogor,https://twitter.com/xadbooi/status/1629839534853873664,2023-02-26 13:43:20+00:00,"@isaalll Inget banget dulu pas covid ditahun 2021, di IGD RSUD Bogor, gua lagi nunggu, dan ada keluarga orang dikasih tau ini sama dokternya, badan gua geter dan nangis. Segitu bukan keluarga sendiri 😭",xadbooi,39.0,1,0,0,0,in,Twitter for Android,,,,isaalll,1,['isaalll']
1629837248677187584,Lagi di Bogor,https://twitter.com/wonqutie_/status/1629837248677187584,2023-02-26 13:34:15+00:00,ANJRIT INI MAH KAYA LAGI DI BOGOR 😭😭😭😭,wonqutie_,54.0,0,0,0,0,in,Twitter for Android,,,,,0,
1629831981306630145,Lagi di Bogor,https://twitter.com/officialJKT48/status/1629831981306630145,2023-02-26 13:13:19+00:00,"Terima kasih banyak bagi yang telah datang dan senang senang bareng kita di Senang Senang Fest, Bogor! Sampai bertemu lagi!! https://t.co/kZGMSW1r8g",officialJKT48,107414.0,136,569,6455,74,in,Twitter Web App,,,,,0,
1629819570390462465,Lagi di Bogor,https://twitter.com/guwpie/status/1629819570390462465,2023-02-26 12:24:00+00:00,"@tanyarlfes nder bisa jadi ortu kamu lagi ada masalah keuangan jadi jgn dibiasain hidup mewah mulu, roda selalu berputar. harus bisa bersyukur dan dicukupin. aku juga sama sama kuliah di jkt pp naik transport umum dari bogor, dikasih 50k/hari bahkan bisa 30k nya aku tabung",guwpie,39.0,0,0,0,0,in,Twitter for Android,,,,tanyarlfes,1,['tanyarlfes']
1629817101878956033,Lagi di Bogor,https://twitter.com/midunitusaya/status/1629817101878956033,2023-02-26 12:14:12+00:00,@convomf NJIR GW PERCAYA LAGI TWICE MAO NGONSER DI BOGOR 😭😭,midunitusaya,4.0,0,0,0,0,in,Twitter for Android,,,,convomf,1,['convomf']
1629816789113925634,Lagi di Bogor,https://twitter.com/cowbubuk/status/1629816789113925634,2023-02-26 12:12:57+00:00,"Lagi baca artikel detikX yg bahas hectic nya manggarai, hampir semua yg di masukin testimoni warga depok-bogor jd gk berimbang krn gak ada testimoni warga bekasi, terus nemu ini 👇 di kolom komentar 😂 https://t.co/FL4ZbZVshD",cowbubuk,1211.0,4,1,10,1,in,Twitter for Android,,,,,0,
1629810398592663552,Lagi di Bogor,https://twitter.com/niLehooo/status/1629810398592663552,2023-02-26 11:47:34+00:00,Ayam bakar kambal di bogor belom ada:( bm banget udh 5 tahun ga nyobain lagi,niLehooo,22.0,0,0,0,0,in,Twitter for Android,,,,,0,
